* Octave data file for xspice model d_source created by CACE
* Format is time value followed by digital state.
7.56836e-08 1s 1s 1s 0s 0s 1s 1s 1s
7.61719e-08 1s 1s 1s 0s 1s 0s 0s 0s
7.66602e-08 1s 1s 1s 0s 1s 0s 0s 0s
7.71484e-08 1s 1s 1s 0s 1s 0s 0s 1s
7.76367e-08 1s 1s 1s 0s 1s 0s 0s 1s
7.8125e-08 1s 1s 1s 0s 1s 0s 1s 0s
7.86133e-08 1s 1s 1s 0s 1s 0s 1s 0s
7.91016e-08 1s 1s 1s 0s 1s 0s 1s 0s
7.95898e-08 1s 1s 1s 0s 1s 0s 1s 1s
8.00781e-08 1s 1s 1s 0s 1s 0s 1s 1s
8.05664e-08 1s 1s 1s 0s 1s 1s 0s 0s
8.10547e-08 1s 1s 1s 0s 1s 1s 0s 0s
8.1543e-08 1s 1s 1s 0s 1s 1s 0s 0s
8.20312e-08 1s 1s 1s 0s 1s 1s 0s 1s
8.25195e-08 1s 1s 1s 0s 1s 1s 0s 1s
8.30078e-08 1s 1s 1s 0s 1s 1s 1s 0s
8.34961e-08 1s 1s 1s 0s 1s 1s 1s 0s
8.39844e-08 1s 1s 1s 0s 1s 1s 1s 0s
8.44727e-08 1s 1s 1s 0s 1s 1s 1s 1s
8.49609e-08 1s 1s 1s 0s 1s 1s 1s 1s
8.54492e-08 1s 1s 1s 1s 0s 0s 0s 0s
8.59375e-08 1s 1s 1s 1s 0s 0s 0s 0s
8.64258e-08 1s 1s 1s 1s 0s 0s 0s 0s
8.69141e-08 1s 1s 1s 1s 0s 0s 0s 1s
8.74023e-08 1s 1s 1s 1s 0s 0s 0s 1s
8.78906e-08 1s 1s 1s 1s 0s 0s 0s 1s
8.83789e-08 1s 1s 1s 1s 0s 0s 1s 0s
8.88672e-08 1s 1s 1s 1s 0s 0s 1s 0s
8.93555e-08 1s 1s 1s 1s 0s 0s 1s 0s
8.98438e-08 1s 1s 1s 1s 0s 0s 1s 1s
9.0332e-08 1s 1s 1s 1s 0s 0s 1s 1s
9.08203e-08 1s 1s 1s 1s 0s 0s 1s 1s
9.13086e-08 1s 1s 1s 1s 0s 1s 0s 0s
9.17969e-08 1s 1s 1s 1s 0s 1s 0s 0s
9.22852e-08 1s 1s 1s 1s 0s 1s 0s 0s
9.27734e-08 1s 1s 1s 1s 0s 1s 0s 1s
9.32617e-08 1s 1s 1s 1s 0s 1s 0s 1s
9.375e-08 1s 1s 1s 1s 0s 1s 0s 1s
9.42383e-08 1s 1s 1s 1s 0s 1s 1s 0s
9.47266e-08 1s 1s 1s 1s 0s 1s 1s 0s
9.52148e-08 1s 1s 1s 1s 0s 1s 1s 0s
9.57031e-08 1s 1s 1s 1s 0s 1s 1s 0s
9.61914e-08 1s 1s 1s 1s 0s 1s 1s 1s
9.66797e-08 1s 1s 1s 1s 0s 1s 1s 1s
9.7168e-08 1s 1s 1s 1s 0s 1s 1s 1s
9.76562e-08 1s 1s 1s 1s 1s 0s 0s 0s
9.81445e-08 1s 1s 1s 1s 1s 0s 0s 0s
9.86328e-08 1s 1s 1s 1s 1s 0s 0s 0s
9.91211e-08 1s 1s 1s 1s 1s 0s 0s 0s
9.96094e-08 1s 1s 1s 1s 1s 0s 0s 1s
1.00098e-07 1s 1s 1s 1s 1s 0s 0s 1s
1.00586e-07 1s 1s 1s 1s 1s 0s 0s 1s
1.01074e-07 1s 1s 1s 1s 1s 0s 0s 1s
1.01562e-07 1s 1s 1s 1s 1s 0s 1s 0s
1.02051e-07 1s 1s 1s 1s 1s 0s 1s 0s
1.02539e-07 1s 1s 1s 1s 1s 0s 1s 0s
1.03027e-07 1s 1s 1s 1s 1s 0s 1s 0s
1.03516e-07 1s 1s 1s 1s 1s 0s 1s 0s
1.04004e-07 1s 1s 1s 1s 1s 0s 1s 1s
1.04492e-07 1s 1s 1s 1s 1s 0s 1s 1s
1.0498e-07 1s 1s 1s 1s 1s 0s 1s 1s
1.05469e-07 1s 1s 1s 1s 1s 0s 1s 1s
1.05957e-07 1s 1s 1s 1s 1s 0s 1s 1s
1.06445e-07 1s 1s 1s 1s 1s 1s 0s 0s
1.06934e-07 1s 1s 1s 1s 1s 1s 0s 0s
1.07422e-07 1s 1s 1s 1s 1s 1s 0s 0s
1.0791e-07 1s 1s 1s 1s 1s 1s 0s 0s
1.08398e-07 1s 1s 1s 1s 1s 1s 0s 0s
1.08887e-07 1s 1s 1s 1s 1s 1s 0s 0s
1.09375e-07 1s 1s 1s 1s 1s 1s 0s 1s
1.09863e-07 1s 1s 1s 1s 1s 1s 0s 1s
1.10352e-07 1s 1s 1s 1s 1s 1s 0s 1s
1.1084e-07 1s 1s 1s 1s 1s 1s 0s 1s
1.11328e-07 1s 1s 1s 1s 1s 1s 0s 1s
1.11816e-07 1s 1s 1s 1s 1s 1s 0s 1s
1.12305e-07 1s 1s 1s 1s 1s 1s 0s 1s
